"","Trace","Measure","Strategy","WYear","Value","Directory","StrategyLab","ScenarioSet"
"34",68,"GID Shortages","Baseline",1984,106531.3208079,"PaleoResampled,GeneralMRM,Baseline","Baseline","PaleoResampled"
"35",68,"GID Shortages","Baseline",1985,84296.5626038,"PaleoResampled,GeneralMRM,Baseline","Baseline","PaleoResampled"
"36",68,"GID Shortages","Baseline",1986,127357.8549814,"PaleoResampled,GeneralMRM,Baseline","Baseline","PaleoResampled"
"37",68,"GID Shortages","Baseline",1987,105688.6832478,"PaleoResampled,GeneralMRM,Baseline","Baseline","PaleoResampled"
"38",68,"GID Shortages","Baseline",1988,117282.2835795,"PaleoResampled,GeneralMRM,Baseline","Baseline","PaleoResampled"
"39",68,"GID Shortages","Baseline",1989,38305.2288381,"PaleoResampled,GeneralMRM,Baseline","Baseline","PaleoResampled"
"40",68,"GID Shortages","Baseline",1990,74597.0769486,"PaleoResampled,GeneralMRM,Baseline","Baseline","PaleoResampled"
"41",68,"GID Shortages","Baseline",1991,116570.6145435,"PaleoResampled,GeneralMRM,Baseline","Baseline","PaleoResampled"
"42",68,"GID Shortages","Baseline",1992,102130.1397208,"PaleoResampled,GeneralMRM,Baseline","Baseline","PaleoResampled"
"43",68,"GID Shortages","Baseline",1993,56458.3628068,"PaleoResampled,GeneralMRM,Baseline","Baseline","PaleoResampled"
"44",68,"GID Shortages","Baseline",1994,78782.2779874,"PaleoResampled,GeneralMRM,Baseline","Baseline","PaleoResampled"
"45",68,"GID Shortages","Baseline",1995,53124.4075879,"PaleoResampled,GeneralMRM,Baseline","Baseline","PaleoResampled"
"46",68,"GID Shortages","Baseline",1996,107901.9779167,"PaleoResampled,GeneralMRM,Baseline","Baseline","PaleoResampled"
"47",68,"GID Shortages","Baseline",1997,60923.0149339,"PaleoResampled,GeneralMRM,Baseline","Baseline","PaleoResampled"
"48",68,"GID Shortages","Baseline",1998,88924.6129895,"PaleoResampled,GeneralMRM,Baseline","Baseline","PaleoResampled"
"49",68,"GID Shortages","Baseline",1999,101001.4857867,"PaleoResampled,GeneralMRM,Baseline","Baseline","PaleoResampled"
"50",68,"GID Shortages","PishkunAdd30kAcFt",1951,72394.3740095,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFt","Pishkun Add 30k AF","PaleoResampled"
"51",68,"GID Shortages","PishkunAdd30kAcFt",1952,80343.2887121,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFt","Pishkun Add 30k AF","PaleoResampled"
"52",68,"GID Shortages","PishkunAdd30kAcFt",1953,100543.7604148,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFt","Pishkun Add 30k AF","PaleoResampled"
"53",68,"GID Shortages","PishkunAdd30kAcFt",1954,78970.2911087,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFt","Pishkun Add 30k AF","PaleoResampled"
"54",68,"GID Shortages","PishkunAdd30kAcFt",1955,14090.8088964,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFt","Pishkun Add 30k AF","PaleoResampled"
"55",68,"GID Shortages","PishkunAdd30kAcFt",1956,97304.0200209,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFt","Pishkun Add 30k AF","PaleoResampled"
"56",68,"GID Shortages","PishkunAdd30kAcFt",1957,33004.2664202,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFt","Pishkun Add 30k AF","PaleoResampled"
"57",68,"GID Shortages","PishkunAdd30kAcFt",1958,37321.566561,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFt","Pishkun Add 30k AF","PaleoResampled"
"58",68,"GID Shortages","PishkunAdd30kAcFt",1959,94106.3490257,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFt","Pishkun Add 30k AF","PaleoResampled"
"59",68,"GID Shortages","PishkunAdd30kAcFt",1960,124373.7045317,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFt","Pishkun Add 30k AF","PaleoResampled"
"60",68,"GID Shortages","PishkunAdd30kAcFt",1961,93867.8169235,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFt","Pishkun Add 30k AF","PaleoResampled"
"61",68,"GID Shortages","PishkunAdd30kAcFt",1962,103989.2659865,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFt","Pishkun Add 30k AF","PaleoResampled"
"62",68,"GID Shortages","PishkunAdd30kAcFt",1963,102118.1793967,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFt","Pishkun Add 30k AF","PaleoResampled"
"63",68,"GID Shortages","PishkunAdd30kAcFt",1964,38340.0982407,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFt","Pishkun Add 30k AF","PaleoResampled"
"64",68,"GID Shortages","PishkunAdd30kAcFt",1965,63948.9769312,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFt","Pishkun Add 30k AF","PaleoResampled"
"65",68,"GID Shortages","PishkunAdd30kAcFt",1966,71845.7660422,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFt","Pishkun Add 30k AF","PaleoResampled"
"66",68,"GID Shortages","PishkunAdd30kAcFt",1967,71889.2040352,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFt","Pishkun Add 30k AF","PaleoResampled"
"67",68,"GID Shortages","PishkunAdd30kAcFt",1968,70328.2329799,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFt","Pishkun Add 30k AF","PaleoResampled"
"68",68,"GID Shortages","PishkunAdd30kAcFt",1969,84662.7111658,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFt","Pishkun Add 30k AF","PaleoResampled"
"69",68,"GID Shortages","PishkunAdd30kAcFt",1970,111011.8208603,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFt","Pishkun Add 30k AF","PaleoResampled"
"70",68,"GID Shortages","PishkunAdd30kAcFt",1971,112534.5109446,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFt","Pishkun Add 30k AF","PaleoResampled"
"71",68,"GID Shortages","PishkunAdd30kAcFt",1972,92556.1283778,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFt","Pishkun Add 30k AF","PaleoResampled"
"72",68,"GID Shortages","PishkunAdd30kAcFt",1973,115753.3653994,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFt","Pishkun Add 30k AF","PaleoResampled"
"73",68,"GID Shortages","PishkunAdd30kAcFt",1974,110110.9089516,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFt","Pishkun Add 30k AF","PaleoResampled"
"74",68,"GID Shortages","PishkunAdd30kAcFt",1975,25028.416195,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFt","Pishkun Add 30k AF","PaleoResampled"
"75",68,"GID Shortages","PishkunAdd30kAcFt",1976,124753.5390367,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFt","Pishkun Add 30k AF","PaleoResampled"
"76",68,"GID Shortages","PishkunAdd30kAcFt",1977,91742.4494797,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFt","Pishkun Add 30k AF","PaleoResampled"
"77",68,"GID Shortages","PishkunAdd30kAcFt",1978,37688.4688416,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFt","Pishkun Add 30k AF","PaleoResampled"
"78",68,"GID Shortages","PishkunAdd30kAcFt",1979,85675.8478071,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFt","Pishkun Add 30k AF","PaleoResampled"
"79",68,"GID Shortages","PishkunAdd30kAcFt",1980,81600.3128246,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFt","Pishkun Add 30k AF","PaleoResampled"
"80",68,"GID Shortages","PishkunAdd30kAcFt",1981,62455.1860048,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFt","Pishkun Add 30k AF","PaleoResampled"
"81",68,"GID Shortages","PishkunAdd30kAcFt",1982,57861.9653523,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFt","Pishkun Add 30k AF","PaleoResampled"
"82",68,"GID Shortages","PishkunAdd30kAcFt",1983,85278.9951295,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFt","Pishkun Add 30k AF","PaleoResampled"
"83",68,"GID Shortages","PishkunAdd30kAcFt",1984,99456.739516,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFt","Pishkun Add 30k AF","PaleoResampled"
"84",68,"GID Shortages","PishkunAdd30kAcFt",1985,85427.457859,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFt","Pishkun Add 30k AF","PaleoResampled"
"85",68,"GID Shortages","PishkunAdd30kAcFt",1986,125365.0031683,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFt","Pishkun Add 30k AF","PaleoResampled"
"86",68,"GID Shortages","PishkunAdd30kAcFt",1987,104075.7452785,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFt","Pishkun Add 30k AF","PaleoResampled"
"87",68,"GID Shortages","PishkunAdd30kAcFt",1988,110035.8346121,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFt","Pishkun Add 30k AF","PaleoResampled"
"88",68,"GID Shortages","PishkunAdd30kAcFt",1989,31523.9432551,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFt","Pishkun Add 30k AF","PaleoResampled"
"89",68,"GID Shortages","PishkunAdd30kAcFt",1990,68140.9614374,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFt","Pishkun Add 30k AF","PaleoResampled"
"90",68,"GID Shortages","PishkunAdd30kAcFt",1991,116327.8576502,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFt","Pishkun Add 30k AF","PaleoResampled"
"91",68,"GID Shortages","PishkunAdd30kAcFt",1992,95016.2857229,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFt","Pishkun Add 30k AF","PaleoResampled"
"92",68,"GID Shortages","PishkunAdd30kAcFt",1993,54906.4363747,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFt","Pishkun Add 30k AF","PaleoResampled"
"93",68,"GID Shortages","PishkunAdd30kAcFt",1994,72279.9079558,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFt","Pishkun Add 30k AF","PaleoResampled"
"94",68,"GID Shortages","PishkunAdd30kAcFt",1995,46129.7799717,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFt","Pishkun Add 30k AF","PaleoResampled"
"95",68,"GID Shortages","PishkunAdd30kAcFt",1996,104697.3052724,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFt","Pishkun Add 30k AF","PaleoResampled"
"96",68,"GID Shortages","PishkunAdd30kAcFt",1997,53998.9393456,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFt","Pishkun Add 30k AF","PaleoResampled"
"97",68,"GID Shortages","PishkunAdd30kAcFt",1998,86003.0211836,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFt","Pishkun Add 30k AF","PaleoResampled"
"98",68,"GID Shortages","PishkunAdd30kAcFt",1999,94005.3904027,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFt","Pishkun Add 30k AF","PaleoResampled"
"99",68,"GID Shortages","PishkunAdd30kAcFtIncPSCCap",1951,72394.3740095,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap","Pishkun Add 30k AF & Inc PSC Cap","PaleoResampled"
"100",68,"GID Shortages","PishkunAdd30kAcFtIncPSCCap",1952,80343.2887121,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap","Pishkun Add 30k AF & Inc PSC Cap","PaleoResampled"
"101",68,"GID Shortages","PishkunAdd30kAcFtIncPSCCap",1953,100543.7604148,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap","Pishkun Add 30k AF & Inc PSC Cap","PaleoResampled"
"102",68,"GID Shortages","PishkunAdd30kAcFtIncPSCCap",1954,78970.2911087,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap","Pishkun Add 30k AF & Inc PSC Cap","PaleoResampled"
"103",68,"GID Shortages","PishkunAdd30kAcFtIncPSCCap",1955,14090.8088964,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap","Pishkun Add 30k AF & Inc PSC Cap","PaleoResampled"
"104",68,"GID Shortages","PishkunAdd30kAcFtIncPSCCap",1956,97304.0200209,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap","Pishkun Add 30k AF & Inc PSC Cap","PaleoResampled"
"105",68,"GID Shortages","PishkunAdd30kAcFtIncPSCCap",1957,33004.2664202,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap","Pishkun Add 30k AF & Inc PSC Cap","PaleoResampled"
"106",68,"GID Shortages","PishkunAdd30kAcFtIncPSCCap",1958,37321.566561,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap","Pishkun Add 30k AF & Inc PSC Cap","PaleoResampled"
"107",68,"GID Shortages","PishkunAdd30kAcFtIncPSCCap",1959,94106.3490257,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap","Pishkun Add 30k AF & Inc PSC Cap","PaleoResampled"
"108",68,"GID Shortages","PishkunAdd30kAcFtIncPSCCap",1960,124373.7045317,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap","Pishkun Add 30k AF & Inc PSC Cap","PaleoResampled"
"109",68,"GID Shortages","PishkunAdd30kAcFtIncPSCCap",1961,93867.8169235,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap","Pishkun Add 30k AF & Inc PSC Cap","PaleoResampled"
"110",68,"GID Shortages","PishkunAdd30kAcFtIncPSCCap",1962,103989.2659865,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap","Pishkun Add 30k AF & Inc PSC Cap","PaleoResampled"
"111",68,"GID Shortages","PishkunAdd30kAcFtIncPSCCap",1963,102118.1793967,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap","Pishkun Add 30k AF & Inc PSC Cap","PaleoResampled"
"112",68,"GID Shortages","PishkunAdd30kAcFtIncPSCCap",1964,38340.0982407,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap","Pishkun Add 30k AF & Inc PSC Cap","PaleoResampled"
"113",68,"GID Shortages","PishkunAdd30kAcFtIncPSCCap",1965,63948.9769312,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap","Pishkun Add 30k AF & Inc PSC Cap","PaleoResampled"
"114",68,"GID Shortages","PishkunAdd30kAcFtIncPSCCap",1966,71845.7660422,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap","Pishkun Add 30k AF & Inc PSC Cap","PaleoResampled"
"115",68,"GID Shortages","PishkunAdd30kAcFtIncPSCCap",1967,71889.2040352,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap","Pishkun Add 30k AF & Inc PSC Cap","PaleoResampled"
"116",68,"GID Shortages","PishkunAdd30kAcFtIncPSCCap",1968,70328.2329799,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap","Pishkun Add 30k AF & Inc PSC Cap","PaleoResampled"
"117",68,"GID Shortages","PishkunAdd30kAcFtIncPSCCap",1969,84662.7111658,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap","Pishkun Add 30k AF & Inc PSC Cap","PaleoResampled"
"118",68,"GID Shortages","PishkunAdd30kAcFtIncPSCCap",1970,111011.8208603,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap","Pishkun Add 30k AF & Inc PSC Cap","PaleoResampled"
"119",68,"GID Shortages","PishkunAdd30kAcFtIncPSCCap",1971,112534.5109446,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap","Pishkun Add 30k AF & Inc PSC Cap","PaleoResampled"
"120",68,"GID Shortages","PishkunAdd30kAcFtIncPSCCap",1972,92556.1283778,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap","Pishkun Add 30k AF & Inc PSC Cap","PaleoResampled"
"121",68,"GID Shortages","PishkunAdd30kAcFtIncPSCCap",1973,115753.3653994,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap","Pishkun Add 30k AF & Inc PSC Cap","PaleoResampled"
"122",68,"GID Shortages","PishkunAdd30kAcFtIncPSCCap",1974,110110.9089516,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap","Pishkun Add 30k AF & Inc PSC Cap","PaleoResampled"
"123",68,"GID Shortages","PishkunAdd30kAcFtIncPSCCap",1975,25028.416195,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap","Pishkun Add 30k AF & Inc PSC Cap","PaleoResampled"
"124",68,"GID Shortages","PishkunAdd30kAcFtIncPSCCap",1976,124753.5390367,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap","Pishkun Add 30k AF & Inc PSC Cap","PaleoResampled"
"125",68,"GID Shortages","PishkunAdd30kAcFtIncPSCCap",1977,91742.4494797,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap","Pishkun Add 30k AF & Inc PSC Cap","PaleoResampled"
"126",68,"GID Shortages","PishkunAdd30kAcFtIncPSCCap",1978,37688.4688416,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap","Pishkun Add 30k AF & Inc PSC Cap","PaleoResampled"
"127",68,"GID Shortages","PishkunAdd30kAcFtIncPSCCap",1979,85675.8478071,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap","Pishkun Add 30k AF & Inc PSC Cap","PaleoResampled"
"128",68,"GID Shortages","PishkunAdd30kAcFtIncPSCCap",1980,81600.3128246,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap","Pishkun Add 30k AF & Inc PSC Cap","PaleoResampled"
"129",68,"GID Shortages","PishkunAdd30kAcFtIncPSCCap",1981,62455.1860048,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap","Pishkun Add 30k AF & Inc PSC Cap","PaleoResampled"
"130",68,"GID Shortages","PishkunAdd30kAcFtIncPSCCap",1982,57861.9653523,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap","Pishkun Add 30k AF & Inc PSC Cap","PaleoResampled"
"131",68,"GID Shortages","PishkunAdd30kAcFtIncPSCCap",1983,85278.9951295,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap","Pishkun Add 30k AF & Inc PSC Cap","PaleoResampled"
"132",68,"GID Shortages","PishkunAdd30kAcFtIncPSCCap",1984,99456.739516,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap","Pishkun Add 30k AF & Inc PSC Cap","PaleoResampled"
"133",68,"GID Shortages","PishkunAdd30kAcFtIncPSCCap",1985,85427.457859,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap","Pishkun Add 30k AF & Inc PSC Cap","PaleoResampled"
"134",68,"GID Shortages","PishkunAdd30kAcFtIncPSCCap",1986,125365.0031683,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap","Pishkun Add 30k AF & Inc PSC Cap","PaleoResampled"
"135",68,"GID Shortages","PishkunAdd30kAcFtIncPSCCap",1987,104075.7452785,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap","Pishkun Add 30k AF & Inc PSC Cap","PaleoResampled"
"136",68,"GID Shortages","PishkunAdd30kAcFtIncPSCCap",1988,110035.8346121,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap","Pishkun Add 30k AF & Inc PSC Cap","PaleoResampled"
"137",68,"GID Shortages","PishkunAdd30kAcFtIncPSCCap",1989,31523.9432551,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap","Pishkun Add 30k AF & Inc PSC Cap","PaleoResampled"
"138",68,"GID Shortages","PishkunAdd30kAcFtIncPSCCap",1990,68140.9614374,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap","Pishkun Add 30k AF & Inc PSC Cap","PaleoResampled"
"139",68,"GID Shortages","PishkunAdd30kAcFtIncPSCCap",1991,116327.8576502,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap","Pishkun Add 30k AF & Inc PSC Cap","PaleoResampled"
"140",68,"GID Shortages","PishkunAdd30kAcFtIncPSCCap",1992,95016.2857229,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap","Pishkun Add 30k AF & Inc PSC Cap","PaleoResampled"
"141",68,"GID Shortages","PishkunAdd30kAcFtIncPSCCap",1993,54906.4363747,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap","Pishkun Add 30k AF & Inc PSC Cap","PaleoResampled"
"142",68,"GID Shortages","PishkunAdd30kAcFtIncPSCCap",1994,72279.9079558,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap","Pishkun Add 30k AF & Inc PSC Cap","PaleoResampled"
"143",68,"GID Shortages","PishkunAdd30kAcFtIncPSCCap",1995,46129.7799717,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap","Pishkun Add 30k AF & Inc PSC Cap","PaleoResampled"
"144",68,"GID Shortages","PishkunAdd30kAcFtIncPSCCap",1996,104697.3052724,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap","Pishkun Add 30k AF & Inc PSC Cap","PaleoResampled"
"145",68,"GID Shortages","PishkunAdd30kAcFtIncPSCCap",1997,53998.9393456,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap","Pishkun Add 30k AF & Inc PSC Cap","PaleoResampled"
"146",68,"GID Shortages","PishkunAdd30kAcFtIncPSCCap",1998,86003.0211836,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap","Pishkun Add 30k AF & Inc PSC Cap","PaleoResampled"
"147",68,"GID Shortages","PishkunAdd30kAcFtIncPSCCap",1999,94005.3904027,"PaleoResampled,GeneralMRM,SunPishkunAdd30kAcFtIncPSCCap","Pishkun Add 30k AF & Inc PSC Cap","PaleoResampled"
