Location,RiverWareSlot,USGS_ID,Lat,Lon
Two Medicine Creek near Cut Bank,06093600 Two Medicine nr Cut Bank.Gage Inflow,6093600,48.47220229,-112.3578253
Birch Creek at Swift Dam,06094500 Birch Cr at Swift Dam.Gage Inflow,6094500,48.1654833,-112.869025
Birch Creek near Dupuyer,06095000 Birch Cr nr Dupuyer.Gage Inflow,6095000,48.24190278,-112.653586
Birch Creek at Nelsons Rch near Dupuyer,06096000 Birch Cr at Nelsons Rch nr Dupuyer.Gage Inflow,6096000,48.2473222,-112.6303806
Birch Creek near Robare,06097000 Birch Cr nr Robare.Gage Inflow,6097000,48.32159167,-112.561311
Dupuyer Creek near Valier,06098000 Dupuyer Cr nr Valier.Gage Inflow,6098000,48.23500556,-112.3982167
Birch Creek near Valier,06098100 Birch Cr nr Valier.Gage Inflow,6098100,48.3582444,-112.3383333
Cut Bank Creek at Cut Bank,06099000 Cut Bank Cr at Cut Bank.Gage Inflow,6099000,48.63340278,-112.3464806
Marias River near Shelby,06099500 Marias nr Shelby.Gage Inflow,6099500,48.4271972,-111.889836
Marias River near Chester,06101500 Marias nr Chester.Gage Inflow,6101500,48.3059611,-111.0805278
Marias River near Loma,06102050 Marias nr Loma.Gage Inflow,6102050,47.94590278,-110.5808389
Teton River near Dutton,06108000 Teton nr Dutton.Gage Inflow,6108000,47.930325,-111.5529417
Teton River at Loma,06108800 Teton at Loma.Gage Inflow,6108800,47.9327194,-110.5144333
Missouri River at Virgelle,06109500 Missouri at Virgelle.Gage Inflow,6109500,48.0037833,-110.2588222
Judith River near Utica,06110000 Judith nr Utica.Gage Inflow,6110000,46.8924111,-110.2314528
Judith River above Carr Creek,06110020 Judith River ab Carr Creek.Gage Inflow,6110020,46.9177222,-110.1889444
Big Spring Creek near Lewistown,06111500 Big Spring Creek nr Lewistown.Gage Inflow,6111500,47.0064611,-109.3493222
Big Spring Creek at Mouth,06111509 Big Spring Creek at Mouth.Gage Inflow,6111500,47.0064611,-109.3493222
Warm Spring Creek at Mouth,06111519 Warm Spring Creek at Mouth.Gage Inflow,6111519,47.333311,-109.701394
Big Spring Creek at RB Trading Post near Lewistown,06111800 Big Spring Cr at RB Trading Post nr Lewistown.Gage Inflow,6111800,47.0878333,-109.4575
Judith River above Big Spring Creek,06114699 Judith above Big Spring Creek.Gage Inflow,6114690,NA,NA
Judith River near mouth,06114700 Judith nr mouth.Gage Inflow,6114700,47.6684083,-109.6525667
Missouri River near Landusky,06115200 Missouri nr Landusky.Gage Inflow,6115200,47.63143056,-108.6877444
Jefferson River near Three Forks,6036650 Jefferson nr Three Forks.Gage Inflow,6036650,45.8971361,-111.5956722
Gallatin River at Logan,6052500 Gallatin River at Logan.Gage Inflow,6052500,45.88535556,-111.438286
Prickly Pear near Clancy,60601500 Prickly Pear nr Clancy.Gage Inflow,6543210,46.519097,-111.946786
Musselshell River near Harlowton,6120500 Musselshell nr Harlowton.Gage Inflow,6120500,46.4288,-109.8411944
Musselshell River near Roundup,6126500 Musselshell nr Roundup.Gage Inflow,6126500,46.4279972,-108.5726361
Musselshell River at Mosby,6130500 Musselshell at Mosby.Gage Inflow,6130500,46.99469167,-107.8891639
